Date,Open,High,Low,Close,Adj Close,Volume,MarketCap,EnterpriseValue,PeRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,TotalRevenue,OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,SellingGeneralAndAdministration,OperatingIncome,OtherIncomeExpense,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,NetIncome,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,TotalAssets,CurrentAssets,CashCashEquivalentsAndShortTermInvestments,CashAndCashEquivalents,Receivables,Inventory,TotalNonCurrentAssets,NetPPE,GrossPPE,AccumulatedDepreciation,GoodwillAndOtherIntangibleAssets,OtherIntangibleAssets,OtherNonCurrentAssets,TotalLiabilitiesNetMinorityInterest,CurrentLiabilities,PayablesAndAccruedExpenses,Payables,AccountsPayable,CurrentDebtAndCapitalLeaseObligation,CurrentDebt,TotalNonCurrentLiabilitiesNetMinorityInterest,LongTermDebtAndCapitalLeaseObligation,LongTermDebt,NonCurrentDeferredLiabilities,NonCurrentDeferredTaxesLiabilities,OtherNonCurrentLiabilities,TotalEquityGrossMinorityInterest,StockholdersEquity,RetainedEarnings,TotalCapitalization,CommonStockEquity,NetTangibleAssets,WorkingCapital,InvestedCapital,TangibleBookValue,TotalDebt,ShareIssued,OrdinarySharesNumber,OperatingCashFlow,CashFlowFromContinuingOperatingActivities,NetIncomeFromContinuingOperations,DepreciationAmortizationDepletion,DepreciationAndAmortization,DeferredTax,DeferredIncomeTax,InvestingCashFlow,CashFlowFromContinuingInvestingActivities,NetPPEPurchaseAndSale,PurchaseOfPPE,FinancingCashFlow,CashFlowFromContinuingFinancingActivities,NetIssuancePaymentsOfDebt,NetCommonStockIssuance,CommonStockIssuance,CommonStockPayments,EndCashPosition,ChangesInCash,EffectOfExchangeRateChanges,BeginningCashPosition,CapitalExpenditure,IssuanceOfCapitalStock,RepurchaseOfCapitalStock,FreeCashFlow
12/31/2015,42.34,43.259998,40.75,42.919998,33.519585,317920800,"185,759,040,000","209,171,040,000",27.363,4.201,7.131,20.917,94.733,"10,000,000,000","10,000,000,000","4,054,000,000","5,946,000,000","4,428,000,000","3,937,000,000","1,518,000,000","9,000,000","1,538,000,000","302,000,000","1,237,000,000","1,237,000,000","1,236,000,000","1,236,000,000","1,237,000,000",0.29,0.28,"4,336,000,000","4,390,000,000","1,518,000,000","8,482,000,000","1,237,000,000","1,237,000,000","1,681,000,000","2,208,000,000","4,054,000,000","527,000,000","1,237,000,000","2,208,000,000",0.196,0,"89,996,000,000","33,395,000,000","19,900,000,000","7,309,000,000","3,941,000,000","2,902,000,000","56,601,000,000","12,571,000,000","22,354,000,000","-9,783,000,000","24,132,000,000","12,843,000,000","4,110,000,000","64,232,000,000","26,929,000,000","9,055,000,000","3,570,000,000","2,795,000,000","15,805,000,000","15,805,000,000","37,303,000,000","28,311,000,000","28,311,000,000","4,691,000,000","4,691,000,000","4,301,000,000","25,764,000,000","25,554,000,000","65,018,000,000","53,865,000,000","25,554,000,000","1,422,000,000","6,466,000,000","69,670,000,000","1,422,000,000","44,116,000,000","7,040,000,000","4,324,000,000","2,138,000,000","2,138,000,000","1,236,000,000","527,000,000","527,000,000","-139,000,000","-139,000,000","-773,000,000","-773,000,000","-848,000,000","-883,000,000","-3,935,000,000","-3,935,000,000","-1,443,000,000","-1,085,000,000","513,000,000","-1,598,000,000","7,309,000,000","-2,570,000,000","-104,000,000","9,983,000,000","-883,000,000","513,000,000","-1,598,000,000","1,255,000,000"
9/30/2015,40.220001,43.849998,39.360001,42.349998,32.822697,366307300,"174,522,146,678","197,889,146,678",23.462,3.886,6.141,17.318,84.388,"11,427,000,000","11,427,000,000","4,577,000,000","6,850,000,000","4,471,000,000","4,207,000,000","2,379,000,000","-671,000,000","1,725,000,000","272,000,000","1,449,000,000","1,449,000,000","1,453,000,000","1,453,000,000","1,449,000,000",0.33,0.33,"4,349,000,000","4,399,000,000","2,379,000,000","9,048,000,000","1,449,000,000","1,449,000,000","1,863,000,000","2,345,000,000","4,577,000,000","482,000,000","1,449,000,000","2,345,000,000",0.158,0,"93,008,000,000","36,594,000,000","22,774,000,000","9,983,000,000","4,028,000,000","2,910,000,000","56,414,000,000","12,615,000,000","22,635,000,000","-10,020,000,000","24,419,000,000","13,062,000,000","4,446,000,000","66,741,000,000","31,545,000,000","10,260,000,000","10,260,000,000","9,877,000,000","20,237,000,000","20,237,000,000","35,196,000,000","25,949,000,000","25,949,000,000","5,053,000,000","5,053,000,000","4,194,000,000","26,267,000,000","26,049,000,000","65,209,000,000","51,998,000,000","26,049,000,000","1,630,000,000","5,049,000,000","72,235,000,000","1,630,000,000","46,186,000,000","7,040,000,000","4,342,000,000","3,272,000,000","3,272,000,000","1,453,000,000","482,000,000","482,000,000","-431,000,000","-431,000,000","-1,657,000,000","-1,657,000,000","-539,000,000","-556,000,000","-48,000,000","-48,000,000","1,619,000,000","-346,000,000","322,000,000","-668,000,000","9,983,000,000","1,567,000,000","-389,000,000","8,805,000,000","-556,000,000","322,000,000","-668,000,000","2,716,000,000"
6/30/2015,39.380001,41.599998,39.220001,41.080002,31.564949,268100000,"170,991,833,207","193,452,833,207",24.673,3.775,5.93,15.914,38.869,"12,156,000,000","12,156,000,000","4,748,000,000","7,408,000,000","4,873,000,000","4,204,000,000","2,535,000,000","1,805,000,000","4,361,000,000","1,250,000,000","3,108,000,000","3,108,000,000","3,111,000,000","3,111,000,000","3,108,000,000",0.71,0.71,"4,355,000,000","4,408,000,000","2,535,000,000","9,621,000,000","3,108,000,000","3,108,000,000","4,489,000,000","4,977,000,000","4,748,000,000","488,000,000","3,108,000,000","4,977,000,000",0.287,0,"93,538,000,000","32,803,000,000","20,947,000,000","8,805,000,000","4,976,000,000","3,224,000,000","60,735,000,000","14,365,000,000","25,286,000,000","-10,921,000,000","26,080,000,000","14,374,000,000","4,517,000,000","64,897,000,000","28,852,000,000","10,434,000,000","10,434,000,000","9,997,000,000","18,337,000,000","18,337,000,000","36,045,000,000","25,977,000,000","25,977,000,000","5,785,000,000","5,785,000,000","4,283,000,000","28,641,000,000","28,418,000,000","65,196,000,000","54,395,000,000","28,418,000,000","2,338,000,000","3,951,000,000","72,732,000,000","2,338,000,000","44,314,000,000","7,040,000,000","4,349,000,000","3,544,000,000","3,544,000,000","3,111,000,000","488,000,000","488,000,000","635,000,000","635,000,000","-2,944,000,000","-2,944,000,000","-586,000,000","-598,000,000","47,000,000","47,000,000","1,902,000,000","-513,000,000","131,000,000","-644,000,000","8,805,000,000","647,000,000","-53,000,000","8,211,000,000","-598,000,000","131,000,000","-644,000,000","2,946,000,000"
3/31/2015,40.790001,41.610001,40.099998,40.560001,30.910381,284020300,"177,142,384,540","197,212,384,540",25.344,3.923,5.842,18.412,67.981,"10,711,000,000","10,711,000,000","4,103,000,000","6,608,000,000","4,312,000,000","4,079,000,000","2,296,000,000","-23,000,000","1,981,000,000","415,000,000","1,557,000,000","1,557,000,000","1,566,000,000","1,566,000,000","1,557,000,000",0.36,0.35,"4,365,000,000","4,422,000,000","2,296,000,000","8,415,000,000","1,557,000,000","1,557,000,000","2,428,000,000","2,901,000,000","4,103,000,000","473,000,000","1,557,000,000","2,901,000,000",0.209,0,"91,016,000,000","32,119,000,000","20,049,000,000","8,211,000,000","4,461,000,000","3,219,000,000","58,897,000,000","14,346,000,000","24,984,000,000","-10,638,000,000","26,054,000,000","14,061,000,000","4,602,000,000","61,938,000,000","26,123,000,000","9,542,000,000","9,542,000,000","8,853,000,000","16,423,000,000","16,423,000,000","35,815,000,000","26,087,000,000","26,087,000,000","5,432,000,000","5,432,000,000","4,296,000,000","29,078,000,000","28,837,000,000","63,524,000,000","54,924,000,000","28,837,000,000","2,783,000,000","5,996,000,000","71,347,000,000","2,783,000,000","42,510,000,000","7,040,000,000","4,360,000,000","1,574,000,000","1,574,000,000","1,566,000,000","473,000,000","473,000,000","8,000,000","8,000,000","-812,000,000","-812,000,000","-495,000,000","-516,000,000","-1,177,000,000","-1,177,000,000","618,000,000","-375,000,000","279,000,000","-654,000,000","8,211,000,000","-415,000,000","-332,000,000","8,958,000,000","-516,000,000","279,000,000","-654,000,000","1,058,000,000"
12/31/2014,42.259998,43.830002,41.110001,41.169998,31.117046,293092200,"184,332,520,000","202,428,520,000",23.456,4.08,5.514,18.619,118.103,"10,872,000,000","10,872,000,000","4,357,000,000","6,515,000,000","5,064,000,000","4,338,000,000","1,451,000,000","-394,000,000","1,076,000,000","305,000,000","770,000,000","770,000,000","771,000,000","771,000,000","770,000,000",0.18,0.17,"4,375,000,000","4,437,000,000","1,451,000,000","9,421,000,000","770,000,000","770,000,000","1,215,000,000","1,714,000,000","4,357,000,000","499,000,000","770,000,000","1,714,000,000",0.283,0,"92,023,000,000","32,986,000,000","21,675,000,000","8,958,000,000","4,466,000,000","3,100,000,000","59,037,000,000","14,633,000,000","25,258,000,000","-10,625,000,000","26,372,000,000","14,272,000,000","4,407,000,000","61,462,000,000","32,374,000,000","9,634,000,000","9,634,000,000","9,234,000,000","22,682,000,000","22,682,000,000","29,088,000,000","19,063,000,000","19,063,000,000","5,636,000,000","5,636,000,000","4,389,000,000","30,561,000,000","30,320,000,000","63,408,000,000","49,383,000,000","30,320,000,000","3,948,000,000","612,000,000","72,065,000,000","3,948,000,000","41,745,000,000","7,040,000,000","4,366,000,000","2,636,000,000","2,636,000,000","771,000,000","499,000,000","499,000,000","139,000,000","139,000,000","-948,000,000","-948,000,000","-715,000,000","-788,000,000","-3,435,000,000","-3,435,000,000","-86,000,000","-725,000,000","474,000,000","-1,199,000,000","8,958,000,000","-1,747,000,000","-379,000,000","11,084,000,000","-788,000,000","474,000,000","-1,199,000,000","1,848,000,000"
9/30/2014,42.549999,44.869999,40.099998,41.880001,31.436384,529864600,"186,637,500,000","205,271,500,000",22.813,4.13,5.478,17.14,62.526,"11,976,000,000","11,976,000,000","4,630,000,000","7,346,000,000","4,635,000,000","4,507,000,000","2,711,000,000","-107,000,000","2,660,000,000","538,000,000","2,114,000,000","2,114,000,000","2,122,000,000","2,122,000,000","2,114,000,000",0.48,0.48,"4,383,000,000","4,445,000,000","2,711,000,000","9,265,000,000","2,114,000,000","2,114,000,000","2,773,000,000","3,283,000,000","4,630,000,000","510,000,000","2,114,000,000","3,283,000,000",0.202,0,"96,314,000,000","35,452,000,000","23,714,000,000","11,084,000,000","5,081,000,000","3,277,000,000","60,862,000,000","14,738,000,000","25,538,000,000","-10,800,000,000","26,955,000,000","14,767,000,000","4,850,000,000","62,645,000,000","32,760,000,000","11,045,000,000","11,045,000,000","10,517,000,000","21,699,000,000","21,699,000,000","29,885,000,000","20,111,000,000","20,111,000,000","6,391,000,000","6,391,000,000","3,383,000,000","33,669,000,000","33,429,000,000","63,972,000,000","53,540,000,000","33,429,000,000","6,474,000,000","2,692,000,000","75,239,000,000","6,474,000,000","41,810,000,000","7,040,000,000","4,375,000,000","3,509,000,000","3,509,000,000","2,122,000,000","510,000,000","510,000,000","-112,000,000","-112,000,000","-3,430,000,000","-3,430,000,000","-572,000,000","-588,000,000","-258,000,000","-258,000,000","1,653,000,000","-602,000,000","408,000,000","-1,010,000,000","11,084,000,000","-179,000,000","-355,000,000","11,618,000,000","-588,000,000","408,000,000","-1,010,000,000","2,921,000,000"
6/30/2014,42.389999,42.57,39.25,39.290001,29.278954,282905200,"185,748,600,000","204,756,600,000",22.652,4.102,5.688,16.284,51.382,"12,574,000,000","12,574,000,000","4,819,000,000","7,755,000,000","4,585,000,000","4,384,000,000","3,170,000,000","177,000,000","3,384,000,000","779,000,000","2,595,000,000","2,595,000,000","2,605,000,000","2,605,000,000","2,595,000,000",0.59,0.58,"4,391,000,000","4,454,000,000","3,170,000,000","9,404,000,000","2,595,000,000","2,595,000,000","3,491,000,000","3,985,000,000","4,819,000,000","494,000,000","2,595,000,000","3,985,000,000",0.23,0,"95,489,000,000","33,871,000,000","21,609,000,000","11,618,000,000","5,870,000,000","3,536,000,000","61,618,000,000","14,918,000,000","25,528,000,000","-10,610,000,000","27,437,000,000","15,141,000,000","4,805,000,000","61,188,000,000","32,629,000,000","11,029,000,000","11,029,000,000","10,575,000,000","21,600,000,000","21,600,000,000","28,559,000,000","18,643,000,000","18,643,000,000","6,469,000,000","6,469,000,000","3,447,000,000","34,301,000,000","34,071,000,000","63,194,000,000","52,714,000,000","34,071,000,000","6,634,000,000","1,242,000,000","74,314,000,000","6,634,000,000","40,243,000,000","7,040,000,000","4,385,000,000","3,404,000,000","3,404,000,000","2,605,000,000","494,000,000","494,000,000","-80,000,000","-80,000,000","-915,000,000","-915,000,000","-515,000,000","-581,000,000","-143,000,000","-143,000,000","1,786,000,000","-619,000,000","459,000,000","-1,078,000,000","11,618,000,000","2,346,000,000","141,000,000","9,131,000,000","-581,000,000","459,000,000","-1,078,000,000","2,823,000,000"
3/31/2014,38.529999,41.279999,38.040001,40.790001,30.169849,382724700,"169,794,720,000","186,605,720,000",20.347,3.72,5.118,17.644,66.597,"10,576,000,000","10,576,000,000","4,083,000,000","6,493,000,000","4,117,000,000","3,989,000,000","2,376,000,000","-170,000,000","2,205,000,000","579,000,000","1,619,000,000","1,619,000,000","1,626,000,000","1,626,000,000","1,619,000,000",0.37,0.36,"4,401,000,000","4,464,000,000","2,376,000,000","8,200,000,000","1,619,000,000","1,619,000,000","2,329,000,000","2,802,000,000","4,083,000,000","473,000,000","1,619,000,000","2,802,000,000",0.262,0,"91,289,000,000","31,052,000,000","19,433,000,000","9,131,000,000","5,233,000,000","3,357,000,000","60,237,000,000","14,860,000,000","25,255,000,000","-10,395,000,000","27,595,000,000","15,252,000,000","4,655,000,000","58,367,000,000","30,056,000,000","10,255,000,000","10,255,000,000","9,959,000,000","19,801,000,000","19,801,000,000","28,311,000,000","18,640,000,000","18,640,000,000","6,257,000,000","6,257,000,000","3,414,000,000","32,922,000,000","32,654,000,000","61,937,000,000","51,294,000,000","32,654,000,000","5,059,000,000","996,000,000","71,095,000,000","5,059,000,000","38,441,000,000","7,040,000,000","4,392,000,000","1,066,000,000","1,066,000,000","1,626,000,000","473,000,000","473,000,000","13,000,000","13,000,000","-2,213,000,000","-2,213,000,000","-381,000,000","-449,000,000","205,000,000","205,000,000","1,359,000,000","-684,000,000","191,000,000","-875,000,000","9,131,000,000","-942,000,000","-341,000,000","10,414,000,000","-449,000,000","191,000,000","-875,000,000","617,000,000"
12/31/2013,41.119999,41.23,37.720001,37.82,27.753237,289400900,"181,846,620,000","197,594,620,000",21.404,3.957,5.659,17.898,67.902,"11,040,000,000","11,040,000,000","4,315,000,000","6,725,000,000","4,620,000,000","4,319,000,000","2,105,000,000","119,000,000","2,228,000,000","520,000,000","1,710,000,000","1,710,000,000","1,708,000,000","1,708,000,000","1,710,000,000",0.39,0.38,"4,410,000,000","4,482,000,000","2,105,000,000","8,935,000,000","1,710,000,000","1,710,000,000","2,377,000,000","2,910,000,000","4,315,000,000","533,000,000","1,710,000,000","2,910,000,000",0.233,0,"90,055,000,000","31,304,000,000","20,268,000,000","10,414,000,000","4,873,000,000","3,277,000,000","58,751,000,000","14,967,000,000","25,032,000,000","-10,065,000,000","27,611,000,000","15,299,000,000","4,661,000,000","56,615,000,000","27,811,000,000","9,886,000,000","9,886,000,000","9,577,000,000","17,925,000,000","17,925,000,000","28,804,000,000","19,154,000,000","19,154,000,000","6,152,000,000","6,152,000,000","3,498,000,000","33,440,000,000","33,173,000,000","61,660,000,000","52,327,000,000","33,173,000,000","5,562,000,000","3,493,000,000","70,252,000,000","5,562,000,000","37,079,000,000","7,040,000,000","4,402,000,000","2,830,000,000","2,830,000,000","1,708,000,000","533,000,000","533,000,000","469,000,000","469,000,000","-1,231,000,000","-1,231,000,000","-878,000,000","-925,000,000","-2,362,000,000","-2,362,000,000","857,000,000","-691,000,000","249,000,000","-940,000,000","10,414,000,000","-763,000,000","59,000,000","11,118,000,000","-925,000,000","249,000,000","-940,000,000","1,905,000,000"
9/30/2013,38.0,39.959999,36.830002,39.57,28.835428,378979000,"167,278,080,000","183,751,080,000",19.937,3.622,5.191,15.274,46.32,"12,030,000,000","12,030,000,000","4,793,000,000","7,237,000,000","4,765,000,000","4,424,000,000","2,472,000,000","862,000,000","3,380,000,000","925,000,000","2,447,000,000","2,447,000,000","2,455,000,000","2,455,000,000","2,447,000,000",0.55,0.54,"4,426,000,000","4,498,000,000","2,472,000,000","9,558,000,000","2,447,000,000","2,447,000,000","3,470,000,000","3,967,000,000","4,793,000,000","497,000,000","2,447,000,000","3,967,000,000",0.274,0,"89,432,000,000","31,576,000,000","20,459,000,000","11,118,000,000","5,116,000,000","3,321,000,000","57,856,000,000","14,548,000,000","24,401,000,000","-9,853,000,000","27,503,000,000","15,091,000,000","4,270,000,000","56,967,000,000","33,042,000,000","11,008,000,000","11,008,000,000","10,590,000,000","22,034,000,000","22,034,000,000","23,925,000,000","14,173,000,000","14,173,000,000","5,307,000,000","5,307,000,000","4,445,000,000","32,465,000,000","32,132,000,000","61,187,000,000","46,305,000,000","32,132,000,000","4,629,000,000","-1,466,000,000","68,339,000,000","4,629,000,000","36,207,000,000","7,040,000,000","4,416,000,000","3,756,000,000","3,756,000,000","2,455,000,000","497,000,000","497,000,000","79,000,000","79,000,000","-275,000,000","-275,000,000","-549,000,000","-556,000,000","-1,519,000,000","-1,519,000,000","529,000,000","-786,000,000","128,000,000","-914,000,000","11,118,000,000","1,962,000,000","-250,000,000","9,406,000,000","-556,000,000","128,000,000","-914,000,000","3,200,000,000"
6/30/2013,40.5,41.25,39.5,40.080002,28.996195,260921100,"177,847,740,000","194,537,740,000",21.0,3.822,5.476,15.259,47.206,"12,749,000,000","12,749,000,000","4,989,000,000","7,760,000,000","4,517,000,000","4,385,000,000","3,243,000,000","275,000,000","3,525,000,000","831,000,000","2,676,000,000","2,676,000,000","2,694,000,000","2,694,000,000","2,676,000,000",0.6,0.59,"4,446,000,000","4,527,000,000","3,243,000,000","9,506,000,000","2,676,000,000","2,676,000,000","3,647,000,000","4,121,000,000","4,989,000,000","474,000,000","2,676,000,000","4,121,000,000",0.235,0,"89,511,000,000","32,572,000,000","19,213,000,000","9,406,000,000","5,516,000,000","3,643,000,000","56,939,000,000","14,549,000,000","24,151,000,000","-9,602,000,000","27,706,000,000","15,049,000,000","3,855,000,000","56,880,000,000","32,469,000,000","10,494,000,000","10,494,000,000","10,047,000,000","21,507,000,000","21,507,000,000","24,411,000,000","14,179,000,000","14,179,000,000","5,298,000,000","5,298,000,000","4,934,000,000","32,631,000,000","32,223,000,000","59,978,000,000","46,402,000,000","32,223,000,000","4,517,000,000","103,000,000","67,909,000,000","4,517,000,000","35,686,000,000","7,040,000,000","4,434,000,000","3,478,000,000","3,478,000,000","2,694,000,000","474,000,000","474,000,000","-57,000,000","-57,000,000","-1,490,000,000","-1,490,000,000","-549,000,000","-571,000,000","-1,299,000,000","-1,299,000,000","805,000,000","-921,000,000","534,000,000","-1,455,000,000","9,406,000,000","689,000,000","-445,000,000","9,162,000,000","-571,000,000","534,000,000","-1,455,000,000","2,907,000,000"
3/31/2013,40.389999,42.959999,39.77,42.330002,30.413755,317772200,"179,877,120,000","195,936,120,000",20.528,3.861,5.486,17.756,67.124,"11,035,000,000","11,035,000,000","4,324,000,000","6,711,000,000","4,303,000,000","4,182,000,000","2,408,000,000","-78,000,000","2,344,000,000","575,000,000","1,751,000,000","1,751,000,000","1,769,000,000","1,769,000,000","1,751,000,000",0.39,0.39,"4,455,000,000","4,530,000,000","2,408,000,000","8,627,000,000","1,751,000,000","1,751,000,000","2,446,000,000","2,919,000,000","4,324,000,000","473,000,000","1,751,000,000","2,919,000,000",0.246,0,"88,450,000,000","31,519,000,000","18,428,000,000","9,162,000,000","5,007,000,000","3,607,000,000","56,931,000,000","14,543,000,000","23,938,000,000","-9,395,000,000","27,389,000,000","15,098,000,000","3,922,000,000","55,556,000,000","31,102,000,000","9,829,000,000","9,829,000,000","9,447,000,000","20,827,000,000","20,827,000,000","24,454,000,000","14,291,000,000","14,291,000,000","5,214,000,000","5,214,000,000","4,949,000,000","32,894,000,000","32,480,000,000","58,549,000,000","46,771,000,000","32,480,000,000","5,091,000,000","417,000,000","67,598,000,000","5,091,000,000","35,118,000,000","7,040,000,000","4,448,000,000","478,000,000","478,000,000","1,769,000,000","473,000,000","473,000,000","157,000,000","157,000,000","-1,218,000,000","-1,218,000,000","-463,000,000","-498,000,000","1,435,000,000","1,435,000,000","2,520,000,000","-1,106,000,000","417,000,000","-1,523,000,000","9,162,000,000","695,000,000","25,000,000","8,442,000,000","-498,000,000","417,000,000","-1,523,000,000","-20,000,000"
12/31/2012,36.990002,37.869999,36.52,37.240002,26.564339,302757300,"162,001,250,000","178,060,250,000",18.401,3.461,4.941,15.544,59.652,"11,455,000,000","11,455,000,000","4,628,000,000","6,827,000,000","4,644,000,000","4,430,000,000","2,183,000,000","163,000,000","2,377,000,000","487,000,000","1,866,000,000","1,866,000,000","1,890,000,000","1,890,000,000","1,866,000,000",0.42,0.41,"4,479,000,000","4,557,000,000","2,183,000,000","9,272,000,000","1,866,000,000","1,866,000,000","2,472,000,000","2,985,000,000","4,628,000,000","513,000,000","1,866,000,000","2,985,000,000",0.205,0,"86,174,000,000","30,328,000,000","16,551,000,000","8,442,000,000","4,759,000,000","3,264,000,000","55,846,000,000","14,476,000,000","23,486,000,000","-9,010,000,000","27,337,000,000","15,082,000,000","3,585,000,000","53,006,000,000","27,821,000,000","9,151,000,000","9,151,000,000","8,680,000,000","17,874,000,000","17,874,000,000","25,185,000,000","14,736,000,000","14,736,000,000","4,981,000,000","4,981,000,000","5,468,000,000","33,168,000,000","32,790,000,000","58,045,000,000","47,526,000,000","32,790,000,000","5,453,000,000","2,507,000,000","65,400,000,000","5,453,000,000","32,610,000,000","7,040,000,000","4,469,000,000","2,805,000,000","2,805,000,000","1,890,000,000","513,000,000","513,000,000","476,000,000","476,000,000","-1,005,000,000","-1,005,000,000","-739,000,000","-809,000,000","-2,948,000,000","-2,948,000,000","120,000,000","-770,000,000","170,000,000","-940,000,000","8,442,000,000","-1,148,000,000","-25,000,000","9,615,000,000","-809,000,000","170,000,000","-940,000,000","1,996,000,000"
9/30/2012,38.16,38.830002,36.540001,37.18,26.340805,293829600,"170,153,980,000","185,669,980,000",20.069,3.684,5.273,15.046,50.181,"12,340,000,000","12,340,000,000","4,853,000,000","7,487,000,000","4,694,000,000","4,630,000,000","2,793,000,000","275,000,000","3,084,000,000","755,000,000","2,311,000,000","2,311,000,000","2,329,000,000","2,329,000,000","2,311,000,000",0.51,0.5,"4,502,000,000","4,587,000,000","2,793,000,000","9,547,000,000","2,311,000,000","2,293,630,674.45","3,186,000,000","3,700,000,000","4,853,000,000","514,000,000","2,311,000,000","3,677,000,000",0.245,"5,630,674.45","86,654,000,000","29,712,000,000","18,083,000,000","9,615,000,000","5,083,000,000","3,447,000,000","56,942,000,000","15,388,000,000","24,516,000,000","-9,128,000,000","27,775,000,000","15,394,000,000","3,629,000,000","53,064,000,000","27,008,000,000","10,459,000,000","10,459,000,000","9,803,000,000","16,549,000,000","16,549,000,000","26,056,000,000","16,181,000,000","16,181,000,000","5,197,000,000","5,197,000,000","4,678,000,000","33,590,000,000","33,210,000,000","57,320,000,000","49,391,000,000","33,210,000,000","5,435,000,000","2,704,000,000","65,940,000,000","5,435,000,000","32,730,000,000","6,633,483,647","4,486,000,000","3,662,000,000","3,662,000,000","2,329,000,000","514,000,000","514,000,000","103,000,000","103,000,000","-1,839,000,000","-1,839,000,000","-650,000,000","-666,000,000","-1,547,000,000","-1,547,000,000","235,000,000","-685,000,000","324,000,000","-1,009,000,000","9,615,000,000","276,000,000","2,000,000","9,337,000,000","-666,000,000","324,000,000","-1,009,000,000","2,996,000,000"
6/30/2012,39.049999,40.665001,38.049999,40.400002,28.428829,289020200,"176,005,690,000","191,341,690,000",20.795,3.839,5.363,14.623,45.096,"13,085,000,000","13,085,000,000","5,224,000,000","7,861,000,000","4,567,000,000","4,497,000,000","3,294,000,000","329,000,000","3,623,000,000","823,000,000","2,788,000,000","2,788,000,000","2,800,000,000","2,800,000,000","2,788,000,000",0.62,0.605,"4,510,000,000","4,592,000,000","3,294,000,000","9,791,000,000","2,788,000,000","2,723,081,424.23","3,735,000,000","4,243,000,000","5,224,000,000","508,000,000","2,788,000,000","4,159,000,000",0.227,"19,081,424.23","85,149,000,000","29,325,000,000","16,966,000,000","9,337,000,000","5,397,000,000","3,587,000,000","55,824,000,000","15,174,000,000","23,917,000,000","-8,743,000,000","27,751,000,000","15,394,000,000","3,663,000,000","52,520,000,000","26,482,000,000","10,390,000,000","10,390,000,000","9,775,000,000","16,092,000,000","16,092,000,000","26,038,000,000","16,390,000,000","16,390,000,000","4,990,000,000","4,990,000,000","4,658,000,000","32,629,000,000","32,269,000,000","56,159,000,000","48,659,000,000","32,269,000,000","4,518,000,000","2,843,000,000","64,751,000,000","4,518,000,000","32,482,000,000","7,040,000,000","4,502,000,000","3,685,000,000","3,685,000,000","2,800,000,000","508,000,000","508,000,000","156,000,000","156,000,000","-3,677,000,000","-3,677,000,000","-683,000,000","-713,000,000","-774,000,000","-774,000,000","1,340,000,000","-972,000,000","559,000,000","-1,531,000,000","9,337,000,000","-766,000,000","-561,000,000","10,664,000,000","-713,000,000","559,000,000","-1,531,000,000","2,972,000,000"
3/31/2012,36.915001,38.91,35.91,38.16,26.670477,292370000,"167,040,570,000","181,573,570,000",20.057,3.694,5.28,16.304,55.697,"11,137,000,000","11,137,000,000","4,348,000,000","6,789,000,000","4,280,000,000","4,181,000,000","2,509,000,000","189,000,000","2,725,000,000","658,000,000","2,054,000,000","2,054,000,000","2,067,000,000","2,067,000,000","2,054,000,000",0.455,0.445,"4,526,000,000","4,602,000,000","2,509,000,000","8,628,000,000","2,054,000,000","2,016,831,926.61","2,813,000,000","3,260,000,000","4,348,000,000","447,000,000","2,054,000,000","3,211,000,000",0.241,"11,831,926.61","83,897,000,000","28,023,000,000","15,779,000,000","10,664,000,000","4,814,000,000","3,442,000,000","55,874,000,000","15,300,000,000","23,955,000,000","-8,655,000,000","27,893,000,000","15,549,000,000","3,770,000,000","50,679,000,000","24,846,000,000","10,082,000,000","10,082,000,000","9,717,000,000","14,764,000,000","14,764,000,000","25,833,000,000","16,351,000,000","16,351,000,000","4,819,000,000","4,819,000,000","4,663,000,000","33,218,000,000","32,818,000,000","54,520,000,000","49,169,000,000","32,818,000,000","4,925,000,000","3,177,000,000","63,933,000,000","4,925,000,000","31,115,000,000","7,040,000,000","4,514,000,000","493,000,000","493,000,000","2,067,000,000","447,000,000","447,000,000","-103,000,000","-103,000,000","-4,883,000,000","-4,883,000,000","-565,000,000","-592,000,000","1,922,000,000","1,922,000,000","2,523,000,000","-643,000,000","436,000,000","-1,079,000,000","10,664,000,000","-2,468,000,000","329,000,000","12,803,000,000","-592,000,000","436,000,000","-1,079,000,000","-99,000,000"
