Date,Open,High,Low,Close,Adj Close,PercentChangeClose,Percent100,Recommendation,Volume,MarketCap,EnterpriseValue,PeRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,TotalRevenue,OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,SellingGeneralAndAdministration,OperatingIncome,OtherIncomeExpense,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,NetIncome,NetIncomeIncludingNoncontrollingInterests,NetIncomeContinuousOperations,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,TotalAssets,CurrentAssets,CashCashEquivalentsAndShortTermInvestments,CashAndCashEquivalents,Receivables,Inventory,TotalNonCurrentAssets,NetPPE,GrossPPE,AccumulatedDepreciation,GoodwillAndOtherIntangibleAssets,OtherIntangibleAssets,OtherNonCurrentAssets,TotalLiabilitiesNetMinorityInterest,CurrentLiabilities,PayablesAndAccruedExpenses,Payables,AccountsPayable,CurrentDebtAndCapitalLeaseObligation,CurrentDebt,TotalNonCurrentLiabilitiesNetMinorityInterest,LongTermDebtAndCapitalLeaseObligation,LongTermDebt,NonCurrentDeferredLiabilities,NonCurrentDeferredTaxesLiabilities,OtherNonCurrentLiabilities,TotalEquityGrossMinorityInterest,StockholdersEquity,RetainedEarnings,TotalCapitalization,CommonStockEquity,NetTangibleAssets,WorkingCapital,InvestedCapital,TangibleBookValue,TotalDebt,ShareIssued,OrdinarySharesNumber,OperatingCashFlow,CashFlowFromContinuingOperatingActivities,NetIncomeFromContinuingOperations,DepreciationAmortizationDepletion,DepreciationAndAmortization,DeferredTax,DeferredIncomeTax,InvestingCashFlow,CashFlowFromContinuingInvestingActivities,NetPPEPurchaseAndSale,PurchaseOfPPE,FinancingCashFlow,CashFlowFromContinuingFinancingActivities,NetIssuancePaymentsOfDebt,NetCommonStockIssuance,CommonStockIssuance,CommonStockPayments,EndCashPosition,ChangesInCash,EffectOfExchangeRateChanges,BeginningCashPosition,CapitalExpenditure,IssuanceOfCapitalStock,RepurchaseOfCapitalStock,FreeCashFlow
3/31/2021,52.959999,54.869999,52.290001,53.98,50.077721,1.13,113.041,Buy,270807700,227143818441,259022818441,29.447,6.902,11.77,28.716,72.535,9020000000,9020000000,3505000000,5515000000,2793000000,2669000000,2722000000,417000000,2763000000,508000000,2245000000,2245000000,2255000000,2255000000,2245000000,0.52,0.52,4307000000,4330000000,2722000000,6298000000,2245000000,2245000000,3205000000,3571000000,3505000000,366000000,2245000000,3571000000,0.184,0,89993000000,21932000000,12589000000,8484000000,3762000000,3356000000,68061000000,10673000000,19859000000,-9186000000,28790000000,11172000000,6494000000,67661000000,16486000000,11673000000,11673000000,10929000000,4813000000,4813000000,51175000000,40170000000,40170000000,2447000000,2447000000,8558000000,22332000000,20355000000,67009000000,60525000000,20355000000,-8435000000,5446000000,65338000000,-8435000000,44983000000,7040000000,4311000000,1636000000,1636000000,2255000000,366000000,366000000,377000000,377000000,-281000000,-281000000,-205000000,-216000000,364000000,364000000,2544000000,79000000,183000000,-104000000,8811000000,1719000000,-18000000,7110000000,-216000000,183000000,-104000000,1420000000
12/31/2020,54.27,54.630001,48.110001,48.150002,44.300453,1.01,100.973,Buy,457208200,235921680000,267660680000,28.415,7.08,12.68,31.084,86.314,8611000000,8611000000,3578000000,5033000000,2695000000,2589000000,2338000000,257000000,2361000000,887000000,1456000000,1456000000,1474000000,1474000000,1456000000,0.34,0.34,4300000000,4329000000,2338000000,6273000000,1456000000,1456000000,2671000000,3101000000,3578000000,430000000,1456000000,3101000000,0.376,0,87296000000,19240000000,10914000000,6795000000,3144000000,3266000000,68056000000,10777000000,19700000000,-8923000000,28550000000,11044000000,6184000000,66012000000,14601000000,11933000000,11933000000,11145000000,2668000000,2668000000,51411000000,40125000000,40125000000,1833000000,1833000000,9453000000,21284000000,19299000000,66555000000,59424000000,19299000000,-9251000000,4639000000,62092000000,-9251000000,42793000000,7040128924,4302128924,3624000000,3624000000,1474000000,430000000,430000000,-28000000,-28000000,5595000000,5595000000,-385000000,-418000000,-14043000000,-14043000000,-10783000000,108000000,133000000,-25000000,7110000000,-4824000000,112000000,11822000000,-418000000,133000000,-25000000,3206000000
9/30/2020,49.439999,51.529999,47.299999,48.060001,43.873634,1.026,102.559,Buy,292193800,212142890000,244659890000,23.288,6.216,12.134,28.278,76.48,8652000000,8652000000,3471000000,5181000000,2883000000,2511000000,2298000000,461000000,2181000000,441000000,1737000000,1737000000,1740000000,1740000000,1737000000,0.4,0.4,4296000000,4321000000,2298000000,6354000000,1737000000,1737000000,2841000000,3199000000,3471000000,358000000,1737000000,3199000000,0.202,0,97184000000,30410000000,21128000000,11385000000,3827000000,3264000000,66774000000,10667000000,19544000000,-8877000000,27920000000,11033000000,6161000000,76868000000,26891000000,13526000000,13526000000,12750000000,13365000000,13365000000,49977000000,39502000000,39502000000,1945000000,1945000000,8530000000,20316000000,18607000000,66863000000,58109000000,18607000000,-9313000000,3519000000,71474000000,-9313000000,52867000000,7040000000,4297000000,3434000000,3434000000,1740000000,358000000,358000000,49000000,49000000,-105000000,-105000000,-179000000,-223000000,-2072000000,-2072000000,-550000000,70000000,70000000,0,11822000000,1257000000,136000000,10429000000,-223000000,70000000,0,3211000000
6/30/2020,44.93,49.279999,43.830002,47.240002,42.778782,1.039,103.877,Buy,369294100,191900600000,224627600000,19.259,5.191,10.568,14.261,37.098,15751000000,15751000000,6384000000,9367000000,5006000000,4631000000,4361000000,1101000000,5207000000,653000000,4554000000,4554000000,4554000000,4554000000,4554000000,1.06,1.05,4292000000,4321000000,4361000000,11390000000,4554000000,4554000000,5674000000,6055000000,6384000000,381000000,4554000000,6055000000,0.199,0,94689000000,29371000000,19816000000,10037000000,3849000000,3501000000,65318000000,10695000000,19234000000,-8539000000,27447000000,10830000000,5875000000,75500000000,26848000000,12244000000,12244000000,11668000000,14604000000,14604000000,48652000000,37729000000,37729000000,1969000000,1969000000,8954000000,19189000000,17484000000,66888000000,55213000000,17484000000,-9963000000,2523000000,69817000000,-9963000000,52333000000,7040000000,4295000000,2230000000,2230000000,1759000000,381000000,381000000,83000000,83000000,-5883000000,-5883000000,-188000000,-209000000,235000000,235000000,1741000000,32000000,31000000,1000000,10429000000,-3418000000,-118000000,13965000000,-209000000,31000000,1000000,2021000000
3/31/2020,42.48,49.73,41.799999,45.889999,41.182129,0.793,79.268,Sell,395209600,190009500000,221597500000,21.377,5.122,10.011,25.764,62.072,8601000000,8601000000,3371000000,5230000000,2850000000,2648000000,2380000000,711000000,3010000000,215000000,2775000000,2775000000,2795000000,2795000000,2775000000,0.65,0.64,4289000000,4325000000,2380000000,6221000000,2775000000,2775000000,3203000000,3570000000,3371000000,367000000,2775000000,3570000000,0.072,0,94013000000,28234000000,17666000000,13561000000,4430000000,3558000000,65779000000,10993000000,19278000000,-8285000000,27838000000,11165000000,6001000000,74179000000,32397000000,13098000000,13098000000,12640000000,19299000000,19299000000,41782000000,31094000000,31094000000,1856000000,1856000000,8832000000,19834000000,18158000000,66870000000,49252000000,18158000000,-9680000000,-4163000000,68551000000,-9680000000,50393000000,7040000000,4294000000,556000000,556000000,2795000000,367000000,367000000,-122000000,-122000000,-1084000000,-1084000000,-236000000,-327000000,7810000000,7810000000,7730000000,319000000,413000000,-94000000,13965000000,7282000000,-54000000,6737000000,-327000000,413000000,-94000000,229000000
12/31/2019,55.32,59.080002,54.09,58.400002,51.953102,1.081,108.095,Buy,286856700,236898000000,267715000000,29.441,7.108,12.66,29.523,87.632,9068000000,9068000000,3566000000,5502000000,3338000000,3224000000,2164000000,356000000,2420000000,355000000,2042000000,2042000000,2065000000,2065000000,2042000000,0.48,0.47,4282000000,4322000000,2164000000,6904000000,2042000000,2042000000,2655000000,3055000000,3566000000,400000000,2042000000,3055000000,0.147,0,86381000000,20411000000,11175000000,6480000000,3971000000,3379000000,65970000000,10838000000,18921000000,-8083000000,26766000000,10002000000,6075000000,65283000000,26973000000,11726000000,11726000000,11312000000,15247000000,15247000000,38310000000,27516000000,27516000000,2284000000,2284000000,8510000000,21098000000,18981000000,65810000000,46497000000,18981000000,-7785000000,-6562000000,61744000000,-7785000000,42763000000,7040128924,4280128924,2700000000,2700000000,2065000000,400000000,400000000,46000000,46000000,-75000000,-75000000,-814000000,-848000000,-3667000000,-3667000000,277000000,-324000000,89000000,-413000000,6737000000,-1042000000,3000000,7776000000,-848000000,89000000,-413000000,1852000000
9/30/2019,54.529999,55.389999,52.82,54.43,48.062347,1.042,104.176,Buy,245853900,233220960000,261319960000,31.836,7.135,12.828,27.487,70.915,9507000000,9507000000,3767000000,5740000000,3241000000,3116000000,2499000000,670000000,3092000000,503000000,2593000000,2593000000,2589000000,2589000000,2593000000,0.61,0.6,4280000000,4321000000,2499000000,7008000000,2593000000,2593000000,3322000000,3685000000,3767000000,363000000,2593000000,3685000000,0.163,0,87433000000,23117000000,12988000000,7531000000,4353000000,3266000000,64316000000,10217000000,19794000000,-8267000000,26330000000,9865000000,5750000000,66750000000,25100000000,13636000000,13636000000,12727000000,11464000000,11464000000,41650000000,31012000000,31012000000,2581000000,2581000000,8057000000,20683000000,18713000000,65481000000,49725000000,18713000000,-7617000000,-1983000000,61189000000,-7617000000,42476000000,7040000000,4284000000,3270000000,3270000000,2589000000,363000000,363000000,-163000000,-163000000,1461000000,1461000000,462000000,-439000000,-3905000000,-3905000000,-2358000000,320000000,321000000,-1000000,7776000000,826000000,-77000000,7027000000,-439000000,321000000,-1000000,2831000000
6/30/2019,51.07,54.82,50.779999,52.630001,46.135609,1.081,108.114,Buy,257685900,217683000000,251270000000,31.049,6.788,12.274,25.135,69.565,9997000000,9997000000,3921000000,6076000000,3088000000,2996000000,2988000000,155000000,3049000000,421000000,2607000000,2607000000,2628000000,2628000000,2607000000,0.61,0.61,4269000000,4305000000,2988000000,7009000000,2607000000,2607000000,3285000000,3612000000,3921000000,327000000,2607000000,3612000000,0.138,0,89996000000,24360000000,13361000000,6731000000,4888000000,3453000000,65636000000,10254000000,19806000000,-8222000000,26915000000,10075000000,5596000000,69701000000,29382000000,13603000000,13603000000,12819000000,15779000000,15779000000,40319000000,29296000000,29296000000,2687000000,2687000000,8336000000,20295000000,18181000000,64602000000,47477000000,18181000000,-8734000000,-5022000000,63256000000,-8734000000,45075000000,7040000000,4275000000,3713000000,3802000000,2685000000,327000000,327000000,-273000000,-273000000,-903000000,-1047000000,-386000000,-403000000,-1853000000,-1717000000,-223000000,120000000,412000000,-292000000,7027000000,957000000,-54000000,6124000000,-403000000,412000000,-292000000,3310000000
3/31/2019,46.990002,49.18,46.040001,49.060001,42.673019,1.028,102.822,Buy,238015200,199998480000,227589480000,29.847,6.324,11.778,28.378,86.241,8020000000,8020000000,2990000000,5030000000,2694000000,2567000000,2336000000,-101000000,2132000000,486000000,1678000000,1678000000,1703000000,1646000000,1678000000,0.39,0.39,4271000000,4306000000,2336000000,5684000000,1678000000,1621000000,2364000000,2639000000,2990000000,275000000,1621000000,2639000000,0.235,0,88347000000,28540000000,11948000000,5645000000,3852000000,3178000000,59807000000,8866000000,18140000000,-8032000000,22744000000,9780000000,5382000000,68543000000,27943000000,11241000000,11241000000,10986000000,14867000000,14867000000,40600000000,29400000000,29400000000,2602000000,2602000000,8598000000,19804000000,17735000000,63704000000,47135000000,17735000000,-5009000000,597000000,62002000000,-5009000000,44267000000,7040000000,4268000000,788000000,699000000,1646000000,275000000,275000000,110000000,110000000,-4459000000,-4315000000,-338000000,-364000000,421000000,285000000,463000000,-207000000,190000000,-397000000,6124000000,-3250000000,56000000,9318000000,-364000000,190000000,-397000000,424000000
12/31/2018,46.939999,48.779999,46.34,48.130001,41.501797,1.013,101.317,Buy,290752700,202089800000,228079800000,64.863,6.304,11.065,32.315,221.652,7058000000,7058000000,2721000000,4337000000,2701000000,2538000000,1636000000,-783000000,787000000,-5000000,870000000,870000000,927000000,792000000,870000000,0.2,0.2,4262000000,4304000000,1636000000,5422000000,870000000,735000000,1029000000,1029000000,2721000000,279000000,735000000,1029000000,0.27,0,83216000000,24930000000,16115000000,9077000000,3685000000,3071000000,58286000000,9598000000,17611000000,-8013000000,21587000000,7478000000,4148000000,64158000000,28782000000,9026000000,3492000000,2719000000,18838000000,18838000000,35376000000,25376000000,25376000000,2354000000,2354000000,7646000000,19058000000,16981000000,63234000000,42357000000,16981000000,-4606000000,-3852000000,61195000000,-4606000000,44214000000,7040128924,4268128924,1937000000,1840000000,792000000,279000000,279000000,-445000000,-445000000,1818000000,2111000000,-280000000,-430000000,-3963000000,-4168000000,-1036000000,269000000,585000000,-316000000,9318000000,-208000000,-13000000,9539000000,-430000000,585000000,-316000000,1507000000
9/30/2018,46.169998,48.080002,44.25,47.880001,40.962311,1.036,103.554,Buy,326355300,196584640000,224031640000,88.827,6.004,10.729,27.172,67.745,8245000000,8245000000,3059000000,5186000000,2660000000,1645000000,2526000000,356000000,2847000000,528000000,1880000000,1880000000,1818000000,2319000000,1880000000,0.44,0.44,4255000000,4295000000,2526000000,5719000000,1880000000,2381000000,3053000000,3307000000,3059000000,254000000,2381000000,3307000000,0.185,0,86877000000,33413000000,18847000000,9065000000,3702000000,2627000000,53464000000,7404000000,15415000000,-8011000000,16855000000,6999000000,4535000000,66699000000,31430000000,10630000000,10630000000,10317000000,19314000000,19314000000,35269000000,25523000000,25523000000,2500000000,2500000000,7246000000,20178000000,18264000000,64028000000,43787000000,18264000000,1409000000,1983000000,63101000000,1409000000,44837000000,7040000000,4256000000,3004000000,2872000000,2319000000,254000000,254000000,-10000000,-10000000,1855000000,1896000000,-272000000,-305000000,-3549000000,-3494000000,-1740000000,12000000,291000000,-279000000,9539000000,1310000000,-140000000,8369000000,-305000000,291000000,-279000000,2699000000
6/30/2018,43.779999,46.669998,43.580002,46.630001,39.556442,1.089,108.876,Buy,207676200,186536580000,214110580000,141.484,5.582,9.512,23.985,62.844,8927000000,8927000000,3252000000,5675000000,2948000000,2723000000,2727000000,227000000,2883000000,594000000,2316000000,2316000000,2331000000,2289000000,2316000000,0.54,0.54,4255000000,4290000000,2727000000,6200000000,2316000000,2274000000,3124000000,3407000000,3252000000,283000000,2274000000,3407000000,0.206,0,89593000000,36024000000,19354000000,7975000000,4565000000,2881000000,53569000000,7688000000,15972000000,-8284000000,16862000000,6999000000,4401000000,69417000000,31398000000,11204000000,11204000000,10842000000,18738000000,18738000000,38019000000,28063000000,28063000000,2589000000,2589000000,7367000000,20176000000,18323000000,63808000000,46386000000,18323000000,1461000000,4626000000,65124000000,1461000000,46801000000,7040000000,4253000000,2027000000,1995000000,2289000000,283000000,283000000,204000000,204000000,957000000,1020000000,-319000000,-338000000,-3159000000,-3174000000,-1259000000,-267000000,123000000,-390000000,8369000000,-175000000,-204000000,8748000000,-338000000,123000000,-390000000,1689000000
3/31/2018,43.439999,45.029999,41.91,43.209999,36.331665,0.916,91.598,Sell,256838800,184968370000,211978370000,160.852,5.303,10.835,27.797,90.861,7626000000,7626000000,2738000000,4888000000,3077000000,2541000000,1811000000,87000000,1833000000,506000000,1368000000,1368000000,1400000000,1327000000,1368000000,0.32,0.32,4265000000,4306000000,1811000000,5815000000,1368000000,1295000000,2063000000,2333000000,2738000000,270000000,1295000000,2333000000,0.276,0,93282000000,38042000000,21373000000,8291000000,3904000000,2937000000,55240000000,7977000000,16347000000,-8370000000,17020000000,7112000000,4428000000,71665000000,31480000000,10797000000,10797000000,10218000000,19155000000,19155000000,40185000000,29792000000,29792000000,2314000000,2314000000,8079000000,21617000000,19610000000,63150000000,49402000000,19610000000,2590000000,6562000000,68557000000,2590000000,48947000000,7040000000,4259000000,659000000,613000000,1327000000,270000000,270000000,-199000000,-199000000,1297000000,1321000000,-231000000,-274000000,324000000,284000000,806000000,-450000000,477000000,-927000000,8748000000,2280000000,95000000,6373000000,-274000000,477000000,-927000000,385000000
12/31/2017,45.91,48.619999,45.34,47.59,39.664307,1.044,104.35,Buy,256417300,195479416458,217222416458,44.115,5.327,8.834,28.917,146.673,7512000000,7512000000,2689000000,4823000000,3502000000,2836000000,1321000000,-356000000,937000000,3755000000,-2752000000,-2752000000,-2717000000,-2818000000,-2752000000,-0.65,-0.65,4261000000,4261000000,1321000000,6191000000,-2752000000,-2853000000,1147000000,1481000000,2689000000,334000000,-2853000000,1481000000,0.4,0,87896000000,36545000000,20675000000,6006000000,3667000000,2655000000,51351000000,8203000000,16449000000,-8246000000,16636000000,7235000000,4560000000,68919000000,27194000000,9158000000,9158000000,8748000000,16503000000,16503000000,41725000000,31182000000,31182000000,2522000000,2522000000,8021000000,18977000000,17072000000,60430000000,48254000000,17072000000,436000000,9351000000,64757000000,436000000,47685000000,7040000000,4259000000,1188000000,1077000000,-2818000000,334000000,334000000,-1862000000,-1862000000,-2694000000,-2629000000,-449000000,-481000000,-4948000000,-4910000000,-1386000000,-320000000,275000000,-595000000,6006000000,-6454000000,-68000000,12528000000,-481000000,275000000,-595000000,707000000
9/30/2017,45.049999,46.790001,44.75,45.98,38.010807,1.011,101.104,Buy,192361800,191832620000,214246620000,47.379,5.029,8.719,23.601,98.323,9078000000,9078000000,3395000000,5683000000,3563000000,3203000000,2120000000,-413000000,1674000000,230000000,1447000000,1447000000,1444000000,1444000000,1447000000,0.34,0.33,4266000000,4320000000,2120000000,6958000000,1447000000,1447000000,1882000000,2179000000,3395000000,297000000,1447000000,2179000000,0.137,0,90515000000,38404000000,27357000000,12528000000,3664000000,2608000000,52111000000,8306000000,16730000000,-8424000000,16564000000,7091000000,4480000000,68363000000,27633000000,10567000000,10567000000,10212000000,16629000000,16629000000,40730000000,32471000000,32471000000,4313000000,4313000000,3946000000,22152000000,22119000000,64759000000,54590000000,22119000000,5555000000,10771000000,71219000000,5555000000,49100000000,7040000000,4262000000,2527000000,2527000000,1444000000,297000000,297000000,-14000000,-14000000,1468000000,1468000000,-332000000,-362000000,-3296000000,-3296000000,-1201000000,-487000000,403000000,-890000000,12528000000,699000000,111000000,11718000000,-362000000,403000000,-890000000,2165000000
6/30/2017,45.110001,46.43,44.150002,45.84,37.595921,1.071,107.108,Buy,195369200,191419800000,213663800000,31.585,4.799,8.368,22.023,67.701,9702000000,9702000000,3659000000,6043000000,3965000000,3142000000,2078000000,612000000,2624000000,1252000000,1371000000,1371000000,1372000000,1372000000,1371000000,0.32,0.32,4273000000,4327000000,2078000000,7624000000,1371000000,1371000000,2855000000,3156000000,3659000000,301000000,1371000000,3156000000,0.4,0,91146000000,38961000000,27224000000,11718000000,4024000000,2790000000,52185000000,8672000000,19113000000,-10441000000,17192000000,7743000000,4318000000,69057000000,28830000000,10714000000,10714000000,10363000000,17833000000,17833000000,40227000000,31805000000,31805000000,4330000000,4330000000,4092000000,22089000000,22001000000,64890000000,53806000000,22001000000,4809000000,10131000000,71639000000,4809000000,49638000000,7040000000,4268000000,2603000000,2603000000,1372000000,301000000,301000000,654000000,654000000,-2263000000,-2263000000,-366000000,-390000000,-738000000,-738000000,1195000000,-370000000,523000000,-893000000,11718000000,-398000000,-4000000,12120000000,-390000000,523000000,-893000000,2213000000
3/31/2017,42.580002,43.790001,42.27,43.150002,35.10083,1.047,104.717,Buy,232465400,181346120000,204854120000,28.483,4.427,7.863,22.467,101.063,9118000000,9118000000,3513000000,5605000000,3623000000,3315000000,1982000000,-438000000,1507000000,323000000,1182000000,1182000000,1184000000,1184000000,1182000000,0.28,0.27,4287000000,4334000000,1982000000,7136000000,1182000000,1182000000,1699000000,2027000000,3513000000,328000000,1182000000,2027000000,0.214,0,91201000000,40251000000,25205000000,12120000000,3702000000,2885000000,50950000000,9746000000,20044000000,-10298000000,18767000000,8759000000,4454000000,68134000000,28656000000,10519000000,10519000000,10251000000,15911000000,15911000000,39478000000,31538000000,31538000000,3899000000,3899000000,4041000000,23067000000,22876000000,65099000000,54414000000,22876000000,4109000000,11595000000,70325000000,4109000000,47449000000,7040000000,4273000000,788000000,788000000,1184000000,328000000,328000000,-34000000,-34000000,1039000000,1039000000,-424000000,-442000000,1535000000,1535000000,2481000000,-910000000,394000000,-1304000000,12120000000,3362000000,203000000,8555000000,-442000000,394000000,-1304000000,346000000
12/31/2016,41.5,42.25,40.689999,41.57,33.519714,0.989,98.871,Sell,240343500,178815297387,200470297387,25.127,4.275,6.818,21.306,163.382,9409000000,9409000000,3794000000,5615000000,4260000000,3580000000,1355000000,-762000000,515000000,-32000000,550000000,550000000,547000000,547000000,550000000,0.13,0.13,4303000000,4345000000,1355000000,8054000000,550000000,550000000,763000000,1227000000,3794000000,464000000,550000000,1227000000,0.063,0,87270000000,34010000000,22201000000,8555000000,3856000000,2675000000,53260000000,10635000000,21256000000,-10621000000,21128000000,10499000000,4248000000,64050000000,26532000000,9797000000,9797000000,9490000000,16025000000,16025000000,37518000000,29684000000,29684000000,3753000000,3753000000,4081000000,23220000000,23062000000,65502000000,52746000000,23062000000,1934000000,7478000000,68771000000,1934000000,45709000000,7040000000,4288000000,2073000000,2073000000,547000000,464000000,464000000,-758000000,-758000000,334000000,334000000,-643000000,-701000000,-4762000000,-4762000000,-595000000,-1033000000,139000000,-1172000000,8555000000,-2355000000,-237000000,11147000000,-701000000,139000000,-1172000000,1372000000
9/30/2016,42.310001,43.029999,41.400002,42.400002,33.902363,0.98,97.975,Sell,264839100,182526160000,206499160000,24.322,4.293,6.852,19.421,101.724,10633000000,10633000000,4131000000,6502000000,4231000000,4009000000,2271000000,-825000000,1428000000,378000000,1046000000,1046000000,1050000000,1050000000,1046000000,0.24,0.24,4315000000,4364000000,2271000000,8362000000,1046000000,1046000000,1610000000,2030000000,4131000000,420000000,1046000000,2030000000,0.265,0,93927000000,37956000000,25569000000,11147000000,4082000000,2751000000,55971000000,11172000000,21294000000,-10122000000,22246000000,11381000000,4526000000,67682000000,27792000000,11549000000,11549000000,11153000000,15561000000,15561000000,39890000000,31663000000,31663000000,4243000000,4243000000,3984000000,26245000000,26076000000,66457000000,57739000000,26076000000,3830000000,10164000000,73300000000,3830000000,47224000000,7040000000,4313000000,2903000000,2903000000,1050000000,420000000,420000000,80000000,80000000,-396000000,-396000000,-425000000,-476000000,-1000000000,-1000000000,-936000000,-166000000,187000000,-353000000,11147000000,1507000000,-7000000,9647000000,-476000000,187000000,-353000000,2427000000
6/30/2016,45.330002,45.939999,43.099998,43.630001,34.603149,0.981,98.135,Sell,235959400,196106588113,220729588113,27.307,4.542,7.871,19.129,44.992,11539000000,11539000000,4471000000,7068000000,4209000000,3912000000,2859000000,1438000000,4299000000,839000000,3448000000,3448000000,3460000000,3460000000,3448000000,0.8,0.79,4323000000,4377000000,2859000000,8680000000,3448000000,3448000000,4461000000,4906000000,4471000000,445000000,3448000000,4906000000,0.195,0,94094000000,35873000000,24075000000,9647000000,4768000000,3005000000,58221000000,12663000000,23132000000,-10469000000,23689000000,12485000000,4370000000,67256000000,29544000000,10610000000,10610000000,10235000000,18796000000,18796000000,37712000000,29252000000,29252000000,4497000000,4497000000,3963000000,26838000000,26637000000,66921000000,55889000000,26637000000,2948000000,6329000000,74685000000,2948000000,48048000000,7040000000,4315000000,3216000000,3216000000,3460000000,445000000,445000000,-97000000,-97000000,-1285000000,-1285000000,-537000000,-549000000,-1182000000,-1182000000,1450000000,-1072000000,345000000,-1417000000,9647000000,749000000,150000000,8748000000,-549000000,345000000,-1417000000,2667000000
3/31/2016,46.139999,47.130001,42.869999,44.799999,35.26067,1.052,105.194,Buy,317337800,200810700067,225123700067,27.778,4.613,7.858,21.895,90.302,10282000000,10282000000,4069000000,6213000000,4072000000,3761000000,2141000000,-250000000,1894000000,401000000,1483000000,1483000000,1493000000,1493000000,1483000000,0.34,0.34,4328000000,4382000000,2141000000,8141000000,1483000000,1483000000,2035000000,2493000000,4069000000,458000000,1483000000,2493000000,0.212,0,91263000000,36510000000,22211000000,8748000000,4147000000,3052000000,54753000000,12613000000,22983000000,-10370000000,24030000000,12634000000,4314000000,66134000000,30987000000,9901000000,9901000000,9626000000,19844000000,19844000000,35147000000,26990000000,26990000000,4337000000,4337000000,3820000000,25129000000,24914000000,64985000000,51904000000,24914000000,884000000,5523000000,71748000000,884000000,46834000000,7040000000,4332000000,604000000,604000000,1493000000,458000000,458000000,-81000000,-81000000,348000000,348000000,-507000000,-536000000,399000000,399000000,1747000000,24000000,763000000,-739000000,8748000000,1351000000,88000000,7309000000,-536000000,763000000,-739000000,68000000
12/31/2015,42.34,43.259998,40.75,42.919998,33.519585,1.021,102.123,Buy,317920800,185759040000,209171040000,27.363,4.201,7.131,20.917,94.733,10000000000,10000000000,4054000000,5946000000,4428000000,3937000000,1518000000,9000000,1538000000,302000000,1237000000,1237000000,1236000000,1236000000,1237000000,0.29,0.28,4336000000,4390000000,1518000000,8482000000,1237000000,1237000000,1681000000,2208000000,4054000000,527000000,1237000000,2208000000,0.196,0,89996000000,33395000000,19900000000,7309000000,3941000000,2902000000,56601000000,12571000000,22354000000,-9783000000,24132000000,12843000000,4110000000,64232000000,26929000000,9055000000,3570000000,2795000000,15805000000,15805000000,37303000000,28311000000,28311000000,4691000000,4691000000,4301000000,25764000000,25554000000,65018000000,53865000000,25554000000,1422000000,6466000000,69670000000,1422000000,44116000000,7040000000,4324000000,2138000000,2138000000,1236000000,527000000,527000000,-139000000,-139000000,-773000000,-773000000,-848000000,-883000000,-3935000000,-3935000000,-1443000000,-1085000000,513000000,-1598000000,7309000000,-2570000000,-104000000,9983000000,-883000000,513000000,-1598000000,1255000000
9/30/2015,40.220001,43.849998,39.360001,42.349998,32.822697,1.04,103.985,Buy,366307300,174522146678,197889146678,23.462,3.886,6.141,17.318,84.388,11427000000,11427000000,4577000000,6850000000,4471000000,4207000000,2379000000,-671000000,1725000000,272000000,1449000000,1449000000,1453000000,1453000000,1449000000,0.33,0.33,4349000000,4399000000,2379000000,9048000000,1449000000,1449000000,1863000000,2345000000,4577000000,482000000,1449000000,2345000000,0.158,0,93008000000,36594000000,22774000000,9983000000,4028000000,2910000000,56414000000,12615000000,22635000000,-10020000000,24419000000,13062000000,4446000000,66741000000,31545000000,10260000000,10260000000,9877000000,20237000000,20237000000,35196000000,25949000000,25949000000,5053000000,5053000000,4194000000,26267000000,26049000000,65209000000,51998000000,26049000000,1630000000,5049000000,72235000000,1630000000,46186000000,7040000000,4342000000,3272000000,3272000000,1453000000,482000000,482000000,-431000000,-431000000,-1657000000,-1657000000,-539000000,-556000000,-48000000,-48000000,1619000000,-346000000,322000000,-668000000,9983000000,1567000000,-389000000,8805000000,-556000000,322000000,-668000000,2716000000
